docno,text
1907855600102551716,"@EdyCohen In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907855551448350740,"‼️URGENT Civil Defense:‼️

🔴6 Palestinians are missing and 31 children have been killed and have no bodies after israeli warplanes bombed the shelter of Dar Al-Arqam School in the Al-Tuffah neighborhood east of Gaza City. They are: Sajida Fayez Al-Kafarneh, nine months pregnant,"
1907855408703688823,"@EdyCohen In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907855361685520788,"Gaza's civil defence agency said at least 31 people, including children, were killed in an Israeli strike Thursday on a school serving as a shelter for Palestinians displaced by the war."
1907855184006447174,"@LukaUpdates In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907855045309223406,"@AvichayAdraee In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907854878061351122,"Twenty-seven Palestinians seeking shelters in a school were killed in a Israeli strike, according to Gaza's Health Ministry.
https://t.co/xQv7TboEGT"
1907854152597647727,"@BabyGoat_00 @jacksonhinklle They didn't use children as shields in Gaza. That's ziobot propaganda. 
They were killed in their home or school ! The genocidal maniacs carpet-bombed Gaza indiscriminately. 
Russians could have carpet-bombed Kiev, but they target military. IsraeI targets civilians."
1907853372562018491,"WATCH: Dar al-Arqan School in Gaza City was sheltering hundreds of displaced Palestinians, many of them newly displaced. 29 were killed after Israeli forces bombed without warning, including more than 10 children. Al Jazeera reported horrific deaths from severe bleeding and https://t.co/ebmhP6NIy4"
1907853244564717991,"WATCH: Dar al-Arqan School in Gaza City was sheltering hundreds of displaced Palestinians, many of them newly displaced. 29 were killed after Israeli forces bombed without warning, including more than 10 children. Al Jazeera reported horrific deaths from severe bleeding and https://t.co/ebmhP6OgnC"
1907853216974549184,Bipartisan support for Israel has killed over 300 children in Gaza in the last 3 days. https://t.co/GoRgVty3ki
1907853202071908747,"3-7
Till today, more than 60,000 Palestinian civilians have been killed, including approximately 20,000 children. Approximately 160,000 have been wounded, and 80% of Gaza's residential neighborhoods, hospitals, and schools have been destroyed by this US-Israeli terrorist alliance https://t.co/MuRjSAyu7E"
